,mean_abs_shap
intangibles_to_assets,0.1614
operating_margin,0.064
log_revenue,0.0598
log_assets,0.0534
current_ratio,0.0353
rd_to_revenue,0.0344
cash_to_cl,0.0338
lt_debt_to_assets,0.0291
wc_to_assets,0.0179
cfo_to_assets,0.0127
cash_to_assets,0.0107
debt_to_assets,0.0058
debt_to_equity,0.0045
net_margin,0.0
interest_coverage,0.0
roa,0.0
