,count,mean,std,min,25%,50%,75%,max
current_ratio,3458.0,3.431,3.079,0.6,1.66,2.441,3.881,18.578
cash_to_assets,3458.0,0.222,0.153,0.008,0.106,0.189,0.304,0.714
cash_to_cl,3458.0,1.146,1.483,0.02,0.318,0.636,1.351,9.041
wc_to_assets,3458.0,0.416,0.235,-0.258,0.262,0.419,0.594,0.882
intangibles_to_assets,3458.0,0.028,0.036,0.0,0.004,0.015,0.038,0.193
rd_to_revenue,3458.0,0.143,0.129,0.0,0.061,0.109,0.186,0.768
debt_to_assets,3458.0,0.076,0.099,0.0,0.004,0.035,0.11,0.441
debt_to_equity,3458.0,0.162,0.267,0.0,0.006,0.052,0.195,1.51
lt_debt_to_assets,3458.0,0.036,0.056,0.0,0.003,0.013,0.04,0.289
interest_coverage,3458.0,552.723,3042.92,-655.845,2.198,18.406,101.5,26833.678
roa,3458.0,0.042,0.102,-0.383,0.012,0.046,0.086,0.313
net_margin,3458.0,0.052,0.255,-1.338,0.025,0.089,0.172,0.516
operating_margin,3458.0,0.059,0.227,-1.018,0.017,0.088,0.169,0.55
cfo_to_assets,3458.0,0.041,0.091,-0.223,-0.006,0.035,0.083,0.334
log_assets,3458.0,7.237,1.375,3.561,6.382,7.342,8.197,9.985
log_revenue,3458.0,6.53,1.321,3.189,5.643,6.464,7.425,9.474
target,3458.0,0.005,0.074,0.0,0.0,0.0,0.0,1.0
