ticker,company_name,year,target,source_class,ttc_logit,ttc_ensemble,ttc_best_model
CCIHY.OO,CHINACACHE,2014,1,default_delisted,0.9911671235199871,0.8398357296843217,Random Forest
CCIHY.OO,CHINACACHE,2015,1,default_delisted,0.9698949521299205,0.854568538773501,Random Forest
CCIHY.OO,CHINACACHE,2016,1,default_delisted,0.9999767079107831,0.9277433459138202,Random Forest
CCIHY.OO,CHINACACHE,2017,1,default_delisted,0.9999162441954236,0.9076888282729825,Random Forest
CNTFY.OO,CHINA TECHFAITH WIRELESS COMMUNICATION TECHNOLOGY,2014,1,default_delisted,0.9827072695994923,0.8193661076145091,Random Forest
CNTFY.OO,CHINA TECHFAITH WIRELESS COMMUNICATION TECHNOLOGY,2015,1,default_delisted,0.9974118620194016,0.915404469443167,Random Forest
CNTFY.OO,CHINA TECHFAITH WIRELESS COMMUNICATION TECHNOLOGY,2016,1,default_delisted,0.9961944459220463,0.9565811768640665,Random Forest
CNTFY.OO,CHINA TECHFAITH WIRELESS COMMUNICATION TECHNOLOGY,2017,1,default_delisted,0.9877643593148537,0.8857337516553919,Random Forest
CSUNY.OO,CHINA SUNERGY,2014,1,default_delisted,0.9989676193393736,0.8770228694083164,Random Forest
CSUNY.OO,CHINA SUNERGY,2015,1,default_delisted,0.9996143441555985,0.8376172061225983,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2014,1,default_delisted,0.9980619586275282,0.780861929698706,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2015,1,default_delisted,0.9917932976538744,0.8687197761140681,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2016,1,default_delisted,0.9976021966500688,0.8427797667984447,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2017,1,default_delisted,0.9976152316549641,0.8377728264127053,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2018,1,default_delisted,0.9949097745181856,0.5923472878686095,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2019,1,default_delisted,0.9967745912052098,0.8427649374017231,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2020,1,default_delisted,0.998447433081661,0.8639042387092772,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2021,1,default_delisted,0.9983222467207151,0.5929691406308539,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2022,1,default_delisted,0.9988015860325955,0.9170558337510183,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2023,1,default_delisted,0.9987619309391386,0.8646742952239126,Random Forest
D5N.SG,Z-OBEE HOLDINGS LIMITED,2024,1,default_delisted,0.9997248428503562,0.8311684872854046,Random Forest
GNG.L,GEONG,2014,1,default_delisted,0.9716705111405133,0.8297739264562738,Random Forest
JRJCY.OO,CHINA FINANCE ONLINE-ADR,2014,1,default_delisted,0.9383211687845114,0.6347937914978131,Random Forest
JRJCY.OO,CHINA FINANCE ONLINE-ADR,2015,1,default_delisted,0.8572485494103838,0.6228209435457832,Random Forest
JRJCY.OO,CHINA FINANCE ONLINE-ADR,2016,1,default_delisted,0.9816920062206494,0.7944993508831647,Random Forest
JRJCY.OO,CHINA FINANCE ONLINE-ADR,2017,1,default_delisted,0.991438320216536,0.660080435279463,Random Forest
JRJCY.OO,CHINA FINANCE ONLINE-ADR,2018,1,default_delisted,0.986109382913135,0.5777130561126781,Random Forest
JRJCY.OO,CHINA FINANCE ONLINE-ADR,2019,1,default_delisted,0.9432708552402621,0.6733788949872569,Random Forest
JRJCY.OO,CHINA FINANCE ONLINE-ADR,2020,1,default_delisted,0.9666245576530126,0.8639384402996302,Random Forest
LDKYQ.OO,LDK SOLAR,2014,1,default_delisted,0.998573316185088,0.6401806081188883,Random Forest
LED.L,LED INTERNATIONAL,2014,1,default_delisted,0.9999997543148567,0.9087860209229567,Random Forest
LKM.N,LINK MOTION,2014,1,default_delisted,0.7630333529221411,0.7610907862161163,Random Forest
LKM.N,LINK MOTION,2015,1,default_delisted,0.9697025744762311,0.8283039212690402,Random Forest
LKM.N,LINK MOTION,2016,1,default_delisted,0.6347832304258487,0.7873150951253785,Random Forest
LKM.N,LINK MOTION,2017,1,default_delisted,0.9832380910415839,0.697666229922945,Random Forest
O2R.SG,Fujian Supertech Advanced Material (delisting),2014,1,default_delisted,0.9998486941293959,0.9481199694406114,Random Forest
O2R.SG,Fujian Supertech Advanced Material (delisting),2015,1,default_delisted,0.9999245361544163,0.9476790681665156,Random Forest
RCG.L,RCG,2014,1,default_delisted,0.9999869644709509,0.9317673966528089,Random Forest
RCG.L,RCG,2015,1,default_delisted,0.9987249200558403,0.8131132914008861,Random Forest
RCG.L,RCG,2016,1,default_delisted,0.9995363312538152,0.8417671494979783,Random Forest
RCG.L,RCG,2017,1,default_delisted,0.9990576936796335,0.87177066792028,Random Forest
RCG.L,RCG,2018,1,default_delisted,0.9750234632576061,0.9534971229403617,Random Forest
RCG.L,RCG,2019,1,default_delisted,0.9983724230855382,0.9727906715206593,Random Forest
RCG.L,RCG,2020,1,default_delisted,0.9984149646088296,0.8966365186604536,Random Forest
RCG.L,RCG,2021,1,default_delisted,0.9849580663185976,0.8718307346307964,Random Forest
RCG.L,RCG,2022,1,default_delisted,0.9932993855310692,0.8365205140246463,Random Forest
RCG.L,RCG,2023,1,default_delisted,0.9828287075848866,0.9763719027596127,Random Forest
RCG.L,RCG,2024,1,default_delisted,0.9854183665661467,0.8611978702997561,Random Forest
000004.SZ,GH-TECH,2014,0,active,0.0001621664591349419,0.0,Random Forest
000004.SZ,GH-TECH,2015,0,active,3.097085664167641e-05,0.0,Random Forest
000004.SZ,GH-TECH,2016,0,active,0.00012305014166235132,0.0,Random Forest
000004.SZ,GH-TECH,2017,0,active,0.0014999444757120678,0.0,Random Forest
000004.SZ,GH-TECH,2018,0,active,0.0005330576379569288,0.0,Random Forest
000004.SZ,GH-TECH,2019,0,active,0.9456706912346798,0.009932287954383464,Random Forest
000004.SZ,GH-TECH,2020,0,active,0.15605464729467147,0.002465679190751445,Random Forest
000004.SZ,GH-TECH,2021,0,active,0.009815030379947536,0.0,Random Forest
000004.SZ,GH-TECH,2022,0,active,0.00661911154494542,0.00734818920973802,Random Forest
000004.SZ,GH-TECH,2023,0,active,0.0012531093467774708,0.007297756174670774,Random Forest
000004.SZ,GH-TECH,2024,0,active,5.376930254739867e-06,0.004948400180202155,Random Forest
000032.SZ,SED,2014,0,active,5.591494821240126e-08,0.0,Random Forest
000032.SZ,SED,2015,0,active,1.3251449642434054e-06,0.0,Random Forest
000032.SZ,SED,2016,0,active,1.302918419269059e-06,0.0,Random Forest
000032.SZ,SED,2017,0,active,1.992570073290876e-06,0.0,Random Forest
000032.SZ,SED,2018,0,active,3.8079624315666197e-06,0.0,Random Forest
000032.SZ,SED,2019,0,active,9.892596666998278e-06,0.0,Random Forest
000032.SZ,SED,2020,0,active,5.841088358554373e-05,0.0,Random Forest
000032.SZ,SED,2021,0,active,1.4947455075987592e-06,0.0,Random Forest
000032.SZ,SED,2022,0,active,8.356377582677094e-07,0.0,Random Forest
000032.SZ,SED,2023,0,active,1.3099957915885245e-06,0.0,Random Forest
000032.SZ,SED,2024,0,active,4.1973185562437696e-07,0.0,Random Forest
000158.SZ,CSBM,2014,0,active,0.012041260347359353,0.0,Random Forest
000158.SZ,CSBM,2015,0,active,0.017092369860009952,0.004965679190751446,Random Forest
000158.SZ,CSBM,2016,0,active,0.005534826597934027,0.0,Random Forest
000158.SZ,CSBM,2017,0,active,0.002664548798440213,0.0,Random Forest
000158.SZ,CSBM,2018,0,active,0.0016988803241816666,0.0,Random Forest
000158.SZ,CSBM,2019,0,active,0.001302802159524538,0.0,Random Forest
000158.SZ,CSBM,2020,0,active,0.00016724327313031985,0.002432287954383464,Random Forest
000158.SZ,CSBM,2021,0,active,0.00013767540161832787,0.0,Random Forest
000158.SZ,CSBM,2022,0,active,0.00010584367585050028,0.0,Random Forest
000158.SZ,CSBM,2023,0,active,0.00012104035665029855,0.0,Random Forest
000158.SZ,CSBM,2024,0,active,0.00011931129216822564,0.002465679190751445,Random Forest
000409.SZ,YUNDING TECH,2014,0,active,9.674062890989782e-06,0.03476800867762874,Random Forest
000409.SZ,YUNDING TECH,2015,0,active,1.2223830077244327e-07,0.009830255099518374,Random Forest
000409.SZ,YUNDING TECH,2016,0,active,7.297617308507656e-08,0.00979593429026982,Random Forest
000409.SZ,YUNDING TECH,2017,0,active,1.5502979707072602e-07,0.046598315368819795,Random Forest
000409.SZ,YUNDING TECH,2018,0,active,6.23723358352543e-06,0.03467810643862028,Random Forest
000409.SZ,YUNDING TECH,2019,0,active,8.64558813561751e-06,0.024322993335054464,Random Forest
000409.SZ,YUNDING TECH,2020,0,active,0.010836234196977016,0.0,Random Forest
000409.SZ,YUNDING TECH,2021,0,active,0.010012442167377926,0.0,Random Forest
000409.SZ,YUNDING TECH,2022,0,active,0.0011364864483666519,0.0,Random Forest
000409.SZ,YUNDING TECH,2023,0,active,0.0012895261489615116,0.0,Random Forest
000409.SZ,YUNDING TECH,2024,0,active,0.000933088799193414,0.0,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2014,0,active,0.0677126479704131,0.0,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2015,0,active,0.005553877605736576,0.004888243088845539,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2016,0,active,0.0003757997185793508,0.0024884540593096745,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2017,0,active,0.04638735250655789,0.00495413325006112,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2018,0,active,0.017819615530968825,0.007488454059309675,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2019,0,active,0.00022184910686540794,0.0,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2020,0,active,0.0012086180193473693,0.0,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2021,0,active,0.0008712368106056589,0.002432287954383464,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2022,0,active,0.0005742323408617945,0.0,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2023,0,active,0.022496903840178925,0.0025,Random Forest
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,2024,0,active,0.09607858771883825,0.004817016872477476,Random Forest
000555.SZ,DCITS,2014,0,active,0.0012215251468801348,0.0,Random Forest
000555.SZ,DCITS,2015,0,active,0.0013031724749433355,0.0,Random Forest
000555.SZ,DCITS,2016,0,active,0.0011548011365893757,0.0,Random Forest
000555.SZ,DCITS,2017,0,active,0.000972350389202121,0.0,Random Forest
000555.SZ,DCITS,2018,0,active,0.0011982041984348298,0.0,Random Forest
000555.SZ,DCITS,2019,0,active,0.0004937987150955623,0.0,Random Forest
000555.SZ,DCITS,2020,0,active,0.00014792389814963688,0.0,Random Forest
000555.SZ,DCITS,2021,0,active,7.329036210405243e-05,0.0,Random Forest
000555.SZ,DCITS,2022,0,active,7.017784158288463e-05,0.0,Random Forest
000555.SZ,DCITS,2023,0,active,4.4776837525871904e-05,0.0,Random Forest
000555.SZ,DCITS,2024,0,active,7.237487712939518e-05,0.0,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2014,0,active,1.9062779627059706e-05,0.002432287954383464,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2015,0,active,0.0011082004411045291,0.007465679190751445,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2016,0,active,8.846275565864615e-05,0.0,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2017,0,active,0.00013417764308699685,0.0,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2018,0,active,0.00031524551383489127,0.0,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2019,0,active,0.0004998437754373959,0.0,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2020,0,active,0.001678166772932841,0.0,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2021,0,active,0.0019127928231762255,0.0,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2022,0,active,0.0027311602025943144,0.0,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2023,0,active,0.006283927956250546,0.0,Random Forest
000676.SZ,GENIMOUS TECHNOLOGY,2024,0,active,0.00756531393804315,0.0,Random Forest
000815.SZ,MEILI CLOUD,2014,0,active,0.8088433642049583,0.031994083540906285,Random Forest
000815.SZ,MEILI CLOUD,2015,0,active,0.0040226222609804066,0.0048004350744389815,Random Forest
000815.SZ,MEILI CLOUD,2016,0,active,0.24617175195896265,0.01726695137744307,Random Forest
000815.SZ,MEILI CLOUD,2017,0,active,0.11028017379687145,0.0,Random Forest
000815.SZ,MEILI CLOUD,2018,0,active,0.12233295405709396,0.0,Random Forest
000815.SZ,MEILI CLOUD,2019,0,active,0.11998961065932223,0.0,Random Forest
