Country,TTC ROC test,PIT ROC test,ΔROC (PIT−TTC),TTC PR test,PIT PR test
Russia,0.8291,0.837,0.0079,0.0888,0.0533
China,1.0,0.9978,-0.0022,1.0,0.5
