Country,TTC ROC test (mean),TTC ROC 95%-CI,TTC PR test (mean),TTC PR 95%-CI
Russia,0.8290572546596643,"[0.753, 0.886]",0.08879050255871412,"[0.021, 0.174]"
China,1.0,"[1.000, 1.000]",1.0,"[1.000, 1.000]"
