Model,ROC-AUC test mean,ROC-AUC test std,PR-AUC test mean,PR-AUC test std,ΔROC (train−test),ΔPR (train−test)
Logistic Regression,0.8514,0.0168,0.0597,0.0149,0.0247,-0.0047
Random Forest,0.8708,0.024,0.0455,0.0121,0.1288,0.7321
XGBoost,0.8538,0.0111,0.0434,0.0242,0.1459,0.8026
