,mean_abs_shap
debt_to_assets,1.0535
cash_to_cl,1.0414
log_assets,1.0372
operating_margin,0.8445
cash_to_assets,0.5024
log_revenue,0.4737
current_ratio,0.4729
debt_to_equity,0.4642
lt_debt_to_assets,0.4035
roa,0.3871
wc_to_assets,0.3279
interest_coverage,0.3233
net_margin,0.3232
cfo_to_assets,0.1937
intangibles_to_assets,0.1698
